Reporting Area,MMWR Year,MMWR Week,"Pertussis, Current week 2021","Pertussis, Previous 52 weeks Max","Pertussis, Cum 2020","Pertussis, Cum 2019"
US RESIDENTS,2020,2,112,423,211,548
NEW ENGLAND,2020,2,3,25,5,43
CONNECTICUT,2020,2,,5,,1
MAINE,2020,2,2,17,4,24
NEW HAMPSHIRE,2020,2,,5,,6
RHODE ISLAND,2020,2,,6,,
VERMONT,2020,2,1,5,1,
NEW JERSEY,2020,2,,11,,14
NEW YORK,2020,2,8,30,8,7
PENNSYLVANIA,2020,2,14,50,32,13
EAST NORTH CENTRAL,2020,2,51,106,81,112
ILLINOIS,2020,2,,40,,18
OHIO,2020,2,51,43,81,35
IOWA,2020,2,,17,,11
KANSAS,2020,2,,5,,7
MINNESOTA,2020,2,,14,,16
NEBRASKA,2020,2,3,10,8,7
NORTH DAKOTA,2020,2,,7,,
SOUTH ATLANTIC,2020,2,9,56,19,57
DELAWARE,2020,2,1,3,1,
DISTRICT OF COLUMBIA,2020,2,,4,,2
MARYLAND,2020,2,,6,3,5
NORTH CAROLINA,2020,2,,20,,16
SOUTH CAROLINA,2020,2,,11,,9
VIRGINIA,2020,2,,25,,
EAST SOUTH CENTRAL,2020,2,1,28,7,20
ALABAMA,2020,2,,14,1,10
KENTUCKY,2020,2,,9,1,1
TENNESSEE,2020,2,1,14,5,6
WEST SOUTH CENTRAL,2020,2,,62,,1
LOUISIANA,2020,2,,5,,1
OKLAHOMA,2020,2,,10,,
TEXAS,2020,2,,61,,
ARIZONA,2020,2,11,13,19,11
COLORADO,2020,2,6,21,12,15
NEVADA,2020,2,,6,,3
NEW MEXICO,2020,2,,9,,8
UTAH,2020,2,,12,,10
PACIFIC,2020,2,1,86,6,146
ALASKA,2020,2,,4,,2
HAWAII,2020,2,1,4,1,
OREGON,2020,2,,18,1,10
WASHINGTON,2020,2,,24,1,27
NORTHERN MARIANA ISLANDS,2020,2,,0,,
GUAM,2020,2,,2,,
PUERTO RICO,2020,2,,0,,
TOTAL,2020,2,112,423,211,548
US TERRITORIES,2020,1,,2,,
TOTAL,2020,1,74,1038,74,296
WEST SOUTH CENTRAL,2020,1,,121,,
ILLINOIS,2020,1,,39,,8
SOUTH DAKOTA,2020,1,,11,,3
KENTUCKY,2020,1,1,10,1,
NEW JERSEY,2020,1,,11,,11
SOUTH ATLANTIC,2020,1,9,53,9,27
NEW MEXICO,2020,1,,9,,5
GEORGIA,2020,1,,9,,9
DISTRICT OF COLUMBIA,2020,1,,4,,
ALABAMA,2020,1,,14,,6
ARIZONA,2020,1,4,13,4,4
WYOMING,2020,1,,7,,
MARYLAND,2020,1,2,6,2,1
WEST VIRGINIA,2020,1,,5,,
US RESIDENTS,2020,1,74,1038,74,296
NEBRASKA,2020,1,4,10,4,4
CALIFORNIA,2020,1,,64,,60
CONNECTICUT,2020,1,,5,,1
PENNSYLVANIA,2020,1,16,52,16,10
KANSAS,2020,1,,5,,3
OHIO,2020,1,30,43,30,19
MASSACHUSETTS,2020,1,,13,,7
NEVADA,2020,1,,4,,2
US RESIDENTS,2020,9,122,455,2113,2432
NEW YORK CITY,2020,1,,15,,11
ALASKA,2020,1,,4,,1
VERMONT,2020,1,,5,,
NEW HAMPSHIRE,2020,1,,5,,4
NORTHERN MARIANA ISLANDS,2020,1,,0,,
MINNESOTA,2020,1,,14,,7
VIRGINIA,2020,1,,25,,
WEST NORTH CENTRAL,2020,1,8,43,8,22
RHODE ISLAND,2020,1,,6,,
NORTH CAROLINA,2020,1,,20,,8
MAINE,2020,1,1,17,1,7
MIDDLE ATLANTIC,2020,1,16,81,16,34
TENNESSEE,2020,1,4,14,4,2
TEXAS,2020,1,,86,,
ARKANSAS,2020,1,,12,,
IDAHO,2020,1,1,16,1,2
EAST SOUTH CENTRAL,2020,1,5,28,5,8
UTAH,2020,1,,12,,7
MOUNTAIN,2020,1,5,134,5,36
NEW YORK,2020,1,,32,,2
LOUISIANA,2020,1,,5,,
WISCONSIN,2020,1,,42,,18
MONTANA,2020,1,,95,,10
OREGON,2020,1,,17,,6
U.S. VIRGIN ISLANDS,2020,1,,0,,
INDIANA,2020,1,,11,,4
NEW ENGLAND,2020,1,1,25,1,19
OKLAHOMA,2020,1,,23,,
IOWA,2020,1,,17,,4
PUERTO RICO,2020,1,,0,,
COLORADO,2020,1,,21,,6
EAST NORTH CENTRAL,2020,1,30,106,30,65
MISSISSIPPI,2020,1,,3,,
GUAM,2020,1,,2,,
NORTH DAKOTA,2020,1,,7,,
MISSOURI,2020,1,4,19,4,1
HAWAII,2020,1,,4,,
SOUTH CAROLINA,2020,1,,11,,4
MICHIGAN,2020,1,,18,,16
DELAWARE,2020,1,,3,,
PACIFIC,2020,1,,692,,85
AMERICAN SAMOA,2020,1,,0,,
WASHINGTON,2020,1,,627,,18
NON-US RESIDENTS,2020,1,,0,,
FLORIDA,2020,1,7,15,7,5
MASSACHUSETTS,2020,2,,13,,12
MIDDLE ATLANTIC,2020,2,22,80,40,48
NEW YORK CITY,2020,2,,15,,14
INDIANA,2020,2,,11,,7
MICHIGAN,2020,2,,18,,25
WISCONSIN,2020,2,,42,,27
WEST NORTH CENTRAL,2020,2,8,43,18,51
MISSOURI,2020,2,5,19,10,7
SOUTH DAKOTA,2020,2,,11,,3
FLORIDA,2020,2,8,15,15,13
GEORGIA,2020,2,,9,,12
WEST VIRGINIA,2020,2,,5,,
MISSISSIPPI,2020,2,,3,,3
ARKANSAS,2020,2,,7,,
MOUNTAIN,2020,2,17,134,35,70
IDAHO,2020,2,,17,4,3
MONTANA,2020,2,,95,,20
WYOMING,2020,2,,7,,
CALIFORNIA,2020,2,,64,3,107
US TERRITORIES,2020,2,,2,,
AMERICAN SAMOA,2020,2,,0,,
U.S. VIRGIN ISLANDS,2020,2,,0,,
NON-US RESIDENTS,2020,2,,0,,
TOTAL,2020,5,122,442,919,1424
US RESIDENTS,2020,5,122,442,919,1424
NEW HAMPSHIRE,2020,5,,5,,10
NEW YORK,2020,5,9,30,43,43
PACIFIC,2020,5,5,86,135,309
WEST SOUTH CENTRAL,2020,5,5,90,22,35
NEBRASKA,2020,5,1,11,14,10
EAST SOUTH CENTRAL,2020,5,2,28,41,59
NORTH DAKOTA,2020,5,,7,1,
NEVADA,2020,5,,6,,8
ILLINOIS,2020,5,2,44,49,51
IOWA,2020,5,,17,2,26
TEXAS,2020,5,5,85,15,17
ALASKA,2020,5,,4,,2
DISTRICT OF COLUMBIA,2020,5,,4,,3
WASHINGTON,2020,5,1,24,52,53
NEW ENGLAND,2020,5,5,25,23,98
RHODE ISLAND,2020,5,,6,,
OREGON,2020,5,4,18,28,24
DELAWARE,2020,5,3,3,5,
ALABAMA,2020,5,,14,6,24
KANSAS,2020,5,,5,,15
NORTH CAROLINA,2020,5,,20,11,37
GUAM,2020,5,,2,,
NEW JERSEY,2020,5,,11,,30
NEW MEXICO,2020,5,,9,11,19
EAST NORTH CENTRAL,2020,5,20,115,249,292
TENNESSEE,2020,5,1,14,16,14
CONNECTICUT,2020,5,,5,,4
MARYLAND,2020,5,,6,5,12
SOUTH CAROLINA,2020,5,,11,11,26
OKLAHOMA,2020,5,,10,,
NORTHERN MARIANA ISLANDS,2020,5,,0,,
OHIO,2020,5,17,51,165,120
MINNESOTA,2020,5,,15,,38
LOUISIANA,2020,5,,5,1,8
HAWAII,2020,5,,4,3,
SOUTH ATLANTIC,2020,5,31,59,98,138
PENNSYLVANIA,2020,5,18,50,118,32
UTAH,2020,5,,12,1,37
COLORADO,2020,5,11,21,47,44
VERMONT,2020,5,,5,4,2
KENTUCKY,2020,5,1,11,16,16
TOTAL,2020,3,108,433,400,866
US RESIDENTS,2020,3,108,433,400,866
NEW HAMPSHIRE,2020,3,,5,,7
NEW YORK,2020,3,11,30,19,18
PACIFIC,2020,3,2,86,35,205
WEST SOUTH CENTRAL,2020,3,3,63,5,10
NEBRASKA,2020,3,2,10,11,7
EAST SOUTH CENTRAL,2020,3,3,28,14,35
NORTH DAKOTA,2020,3,,7,,
NEVADA,2020,3,,6,,5
ILLINOIS,2020,3,,44,5,32
IOWA,2020,3,,17,,21
TEXAS,2020,3,1,61,1,3
ALASKA,2020,3,,4,,2
DISTRICT OF COLUMBIA,2020,3,,4,,2
WASHINGTON,2020,3,,24,13,38
NEW ENGLAND,2020,3,2,25,7,64
RHODE ISLAND,2020,3,,6,,
OREGON,2020,3,2,18,7,18
DELAWARE,2020,3,,3,1,
ALABAMA,2020,3,2,14,4,18
PUERTO RICO,2020,5,,0,,
MAINE,2020,5,5,17,15,56
VIRGINIA,2020,5,6,25,19,5
ARIZONA,2020,5,15,14,74,37
KANSAS,2020,3,,5,,11
NORTH CAROLINA,2020,3,,20,2,23
GUAM,2020,3,,2,,
NEW JERSEY,2020,3,,11,,18
NEW MEXICO,2020,3,,9,4,11
EAST NORTH CENTRAL,2020,3,39,112,136,179
TENNESSEE,2020,3,1,14,8,7
CONNECTICUT,2020,3,,5,,2
MARYLAND,2020,3,1,6,4,9
SOUTH CAROLINA,2020,3,,11,11,15
OKLAHOMA,2020,3,,10,,
NORTHERN MARIANA ISLANDS,2020,3,,0,,
OHIO,2020,3,38,43,119,72
MINNESOTA,2020,3,,15,,26
LOUISIANA,2020,3,,5,1,4
HAWAII,2020,3,,4,1,
SOUTH ATLANTIC,2020,3,8,58,40,86
PENNSYLVANIA,2020,3,16,50,58,19
UTAH,2020,3,,12,1,20
COLORADO,2020,3,12,21,24,26
VERMONT,2020,3,,5,1,
KENTUCKY,2020,3,,9,1,7
PUERTO RICO,2020,3,,0,,
MAINE,2020,3,2,17,6,37
VIRGINIA,2020,3,2,25,2,
ARIZONA,2020,3,10,13,32,19
AMERICAN SAMOA,2020,3,,0,,
WISCONSIN,2020,3,,42,3,33
IDAHO,2020,3,,17,4,6
U.S. VIRGIN ISLANDS,2020,3,,0,,
MICHIGAN,2020,3,,18,3,32
GEORGIA,2020,3,,5,,17
NEW YORK CITY,2020,3,,15,,19
ARKANSAS,2020,3,2,7,3,3
MISSISSIPPI,2020,3,,3,1,3
SOUTH DAKOTA,2020,3,,11,,12
WYOMING,2020,3,,7,,
MISSOURI,2020,3,,19,10,17
MIDDLE ATLANTIC,2020,3,27,80,77,74
CALIFORNIA,2020,3,,64,14,147
WEST VIRGINIA,2020,3,,5,,
FLORIDA,2020,3,5,15,20,20
MONTANA,2020,3,,95,,32
WEST NORTH CENTRAL,2020,3,2,46,21,94
MASSACHUSETTS,2020,3,,13,,18
MOUNTAIN,2020,3,22,134,65,119
INDIANA,2020,3,1,11,6,10
NON-US RESIDENTS,2020,3,,0,,
US TERRITORIES,2020,3,,2,,
AMERICAN SAMOA,2020,5,,0,,
WISCONSIN,2020,5,,42,15,50
IDAHO,2020,5,,17,12,14
U.S. VIRGIN ISLANDS,2020,5,,0,,
MICHIGAN,2020,5,,18,13,48
GEORGIA,2020,5,,4,1,21
NEW YORK CITY,2020,5,,15,7,27
ARKANSAS,2020,5,,7,6,10
MISSISSIPPI,2020,5,,3,3,5
SOUTH DAKOTA,2020,5,,11,,29
WYOMING,2020,5,,7,9,
MISSOURI,2020,5,,19,10,34
MIDDLE ATLANTIC,2020,5,27,80,168,132
CALIFORNIA,2020,5,,64,52,230
WEST VIRGINIA,2020,5,,5,,
TOTAL,2020,4,109,437,638,1130
US RESIDENTS,2020,4,109,437,638,1130
NEW HAMPSHIRE,2020,4,,5,,9
NEW YORK,2020,4,15,30,34,30
PACIFIC,2020,4,3,86,86,251
WEST SOUTH CENTRAL,2020,4,2,66,8,22
NEBRASKA,2020,4,2,10,13,10
EAST SOUTH CENTRAL,2020,4,2,28,20,49
NORTH DAKOTA,2020,4,,7,,
NEVADA,2020,4,,6,,6
ILLINOIS,2020,4,1,44,28,39
IOWA,2020,4,,17,,22
TEXAS,2020,4,,62,1,9
ALASKA,2020,4,,4,,2
DISTRICT OF COLUMBIA,2020,4,,4,,3
WASHINGTON,2020,4,2,24,36,45
NEW ENGLAND,2020,4,3,25,11,78
RHODE ISLAND,2020,4,,6,,
OREGON,2020,4,1,18,16,20
DELAWARE,2020,4,,3,1,
ALABAMA,2020,4,1,14,5,23
KANSAS,2020,4,,5,,13
