date,state,dataQualityGrade,death,hospitalized,hospitalizedCumulative,hospitalizedCurrently,negative,negativeTestsViral,positive,positiveCasesViral,positiveTestsViral,recovered,totalTestResults,totalTestsPeopleViral,totalTestsViral
1/20/21,NE,A,1850,5590,5590,438,704113,1732116,182418,182418,209752,127221,1944011,886764,1944011
1/19/21,NE,A+,1842,5590,5590,429,704113,1732116,182418,182418,209752,127221,1944011,886764,1944011
1/18/21,NE,A+,1837,5575,5575,429,703778,1729927,181978,181978,209674,126504,1941744,886228,1941744
1/17/21,NE,A+,1837,5565,5565,457,701962,1699670,180910,180910,206887,124963,1908692,883344,1908692
1/16/21,NE,A,1837,5565,5565,457,701962,1699670,180910,180910,206887,124963,1908692,883344,1908692
1/15/21,NE,A,1818,5539,5539,465,700507,1686804,180131,180131,205736,124233,1894614,881078,1894614
1/14/21,NE,A,1803,5520,5520,449,699608,1680017,179199,179199,205069,123234,1887154,879242,1887154
1/13/21,NE,A,1791,5497,5497,457,696439,1668291,177670,177670,204358,120700,1874707,874543,1874707
1/12/21,NE,A,1772,5475,5475,484,695168,1656163,176670,176670,203155,122564,1861366,872270,1861366
1/11/21,NE,A,1760,5460,5460,475,694441,1647683,176026,176026,202327,121710,1852051,870901,1852051
1/10/21,NE,A,1737,5444,5444,471,693513,1644150,175620,175620,201900,120729,1848089,869564,1848089
1/9/21,NE,A,1733,5434,5434,481,691704,1634913,174614,174614,200730,119393,1837671,866748,1837671
1/8/21,NE,A,1811,5414,5414,491,690331,1624042,173591,173591,199599,117589,1825632,864342,1825632
1/7/21,NE,A,1703,5386,5386,506,688293,1613363,172469,172469,198164,116295,1813522,861182,1813522
1/6/21,NE,A,1692,5358,5358,515,686341,1597330,171033,171033,196373,114249,1795682,857789,1795682
1/5/21,NE,A,1682,5321,5321,527,684715,1585220,169585,169585,194614,114249,1781797,854716,1781797
1/4/21,NE,A,1672,5290,5290,511,684070,1580032,169000,169000,193920,112856,1775908,853485,1775908
1/3/21,NE,A,1669,5270,5270,503,683032,1574795,168262,168262,193046,105963,1769798,851704,1769798
1/2/21,NE,A,1668,5265,5265,517,682237,1571723,167716,167716,192429,109705,1766104,850362,1766104
1/1/21,NE,A,1651,5254,5254,534,680859,1562488,166798,166798,191386,107694,1755820,848067,1755820
12/31/20,NE,A,1611,5220,5220,544,679235,1552166,165297,165297,189628,105574,1743719,844942,1743719
12/30/20,NE,A,1603,5187,5187,517,677011,1536623,163781,163781,187806,105135,1726330,841203,1726330
12/29/20,NE,A,1587,5159,5159,534,675949,1528896,162849,162849,186686,103592,1717483,839207,1717483
12/28/20,NE,A,1559,5108,5108,527,674305,1518201,161974,161974,185515,102169,1705602,836688,1705602
12/27/20,NE,A,1559,5104,5104,503,673448,1514442,161337,161337,184851,102012,1701178,835194,1701178
12/26/20,NE,A,1558,5085,5085,505,673059,1513049,161162,161162,184584,94708,1699527,834627,1699527
12/25/20,NE,A,1568,5088,5088,538,671439,1504685,160357,160357,183727,98973,1690283,832201,1690283
12/24/20,NE,A,1561,5064,5064,572,670087,1497056,159662,159662,182843,96706,1681771,830155,1681771
12/23/20,NE,A,1521,5036,5036,566,666937,1479195,158324,158324,181274,96359,1662324,825661,1662324
12/22/20,NE,A,1511,5013,5013,582,664682,1466904,157103,157103,179794,95171,1648559,822184,1648559
12/21/20,NE,A,1486,4992,4992,582,663318,1459221,156382,156382,178989,93640,1640048,820099,1640048
12/20/20,NE,A,1475,4977,4977,598,661511,1452819,155415,155415,177808,92195,1632447,817319,1632447
12/19/20,NE,A,1470,4952,4952,612,660063,1445579,154745,154745,176966,89890,1624350,815200,1624350
12/18/20,NE,A,1453,4930,4930,602,658073,1432281,153400,153400,175286,88176,1609385,811867,1609385
12/17/20,NE,A,1448,4908,4908,646,655544,1420527,152103,152103,173638,85915,1595977,808043,1595977
12/16/20,NE,A,1438,4884,4884,677,653154,1408366,150861,150861,172124,85127,1582241,804403,1582241
12/15/20,NE,A,1418,4831,4831,693,650898,1390721,149344,149344,170271,84063,1562744,800631,1562744
12/14/20,NE,A,1373,4796,4796,692,650062,1385350,148861,148861,169441,82568,1556527,799310,1556527
12/13/20,NE,A,1365,4784,4784,711,648028,1378863,147688,147688,168033,80829,1548615,796100,1548615
12/12/20,NE,A,1343,4765,4765,759,646540,1370628,146877,146877,167059,78906,1539401,793796,1539401
12/11/20,NE,A,1329,4734,4734,779,643319,1357312,145774,145774,165348,76908,1524345,789469,1524345
